frame,probeCount,dispatch_s,readback_s,total_s
1,9,0.000144,0.622721,0.623563
31,9,0.000008,0.621670,0.621691
61,9,0.000007,0.613601,0.613621
91,9,0.000011,0.612469,0.612496
121,9,0.000009,0.614076,0.614097
151,9,0.000008,0.613922,0.613941
181,9,0.000007,0.614366,0.614383
211,9,0.000008,0.613090,0.613109
241,9,0.000009,0.613974,0.613992
271,9,0.000008,0.613751,0.613770
301,9,0.000008,0.613961,0.613981
331,9,0.000008,0.614022,0.614040
361,9,0.000008,0.613870,0.613891
391,9,0.000008,0.613582,0.613602
