frame,method,probeCount,samples,build_s,dispatch_s,readback_s,total_s
1,ImportanceSampling,9,1671,0.000308,0.000118,0.007362,0.008471
31,ImportanceSampling,9,1671,0.000012,0.000007,0.003528,0.003557
61,ImportanceSampling,9,1671,0.000012,0.000007,0.004249,0.004278
91,ImportanceSampling,9,1671,0.000012,0.000007,0.002237,0.002264
121,ImportanceSampling,9,1671,0.000012,0.000007,0.004034,0.004063
151,ImportanceSampling,9,1671,0.000011,0.000007,0.005462,0.005495
181,ImportanceSampling,9,1671,0.000010,0.000007,0.002011,0.002037
211,ImportanceSampling,9,1671,0.000011,0.000007,0.002142,0.002170
241,ImportanceSampling,9,1671,0.000010,0.000006,0.002359,0.002390
271,ImportanceSampling,9,1671,0.000011,0.000007,0.003905,0.003938
301,ImportanceSampling,9,1671,0.000012,0.000005,0.006086,0.006117
331,ImportanceSampling,9,1671,0.000011,0.000007,0.002084,0.002113
361,ImportanceSampling,9,1671,0.000012,0.000006,0.002060,0.002087
391,ImportanceSampling,9,1671,0.000012,0.000007,0.001971,0.001998
421,ImportanceSampling,9,1671,0.000012,0.000007,0.003832,0.003869
451,ImportanceSampling,9,1671,0.000011,0.000007,0.007730,0.007757
481,ImportanceSampling,9,1671,0.000012,0.000007,0.006017,0.006050
511,ImportanceSampling,9,1671,0.000010,0.000006,0.002310,0.002335
541,ImportanceSampling,9,1671,0.000009,0.000006,0.003491,0.003515
571,ImportanceSampling,9,1671,0.000010,0.000007,0.000070,0.000095
601,ImportanceSampling,9,1671,0.000010,0.000007,0.001468,0.001494
631,ImportanceSampling,9,1671,0.000010,0.000007,0.000067,0.000094
661,ImportanceSampling,9,1671,0.000013,0.000007,0.001583,0.001614
691,ImportanceSampling,9,1671,0.000011,0.000006,0.002115,0.002141
721,ImportanceSampling,9,1671,0.000012,0.000007,0.002872,0.002901
751,ImportanceSampling,9,1671,0.000009,0.000007,0.002061,0.002100
781,ImportanceSampling,9,1671,0.000010,0.000007,0.004513,0.004539
811,ImportanceSampling,9,1671,0.000009,0.000006,0.002828,0.002854
841,ImportanceSampling,9,1671,0.000011,0.000008,0.003328,0.003357
871,ImportanceSampling,9,1671,0.000009,0.000007,0.003618,0.003645
901,ImportanceSampling,9,1671,0.000009,0.000006,0.007082,0.007108
931,ImportanceSampling,9,1671,0.000010,0.000006,0.001793,0.001819
961,ImportanceSampling,9,1671,0.000011,0.000007,0.001573,0.001599
991,ImportanceSampling,9,1671,0.000010,0.000006,0.001972,0.002003
1021,ImportanceSampling,9,1671,0.000011,0.000006,0.003218,0.003244
1051,ImportanceSampling,9,1671,0.000012,0.000008,0.003750,0.003781
1081,ImportanceSampling,9,1671,0.000009,0.000006,0.007133,0.007158
1111,ImportanceSampling,9,1671,0.000012,0.000006,0.002981,0.003010
1141,ImportanceSampling,9,1671,0.000010,0.000007,0.002138,0.002165
1171,ImportanceSampling,9,1671,0.000010,0.000007,0.003574,0.003602
1201,ImportanceSampling,9,1671,0.000010,0.000007,0.003850,0.003878
1231,ImportanceSampling,9,1671,0.000010,0.000007,0.006148,0.006177
1261,ImportanceSampling,9,1671,0.000009,0.000005,0.008120,0.008144
1291,ImportanceSampling,9,1671,0.000012,0.000007,0.004749,0.004778
1321,ImportanceSampling,9,1671,0.000009,0.000006,0.004892,0.004917
1351,ImportanceSampling,9,1671,0.000011,0.000007,0.006054,0.006082
1381,ImportanceSampling,9,1671,0.000010,0.000006,0.006922,0.006948
1411,ImportanceSampling,9,1671,0.000011,0.000006,0.005569,0.005596
1441,ImportanceSampling,9,1671,0.000010,0.000006,0.004740,0.004771
1471,ImportanceSampling,9,1671,0.000009,0.000006,0.000442,0.000465
1501,ImportanceSampling,9,1671,0.000010,0.000006,0.000276,0.000299
1531,ImportanceSampling,9,1671,0.000010,0.000007,0.000112,0.000139
1561,ImportanceSampling,9,1671,0.000010,0.000007,0.004787,0.004821
1591,ImportanceSampling,9,1671,0.000021,0.000006,0.003608,0.003644
1621,ImportanceSampling,9,1671,0.000010,0.000007,0.004485,0.004517
1651,ImportanceSampling,9,1671,0.000009,0.000006,0.001382,0.001406
1681,ImportanceSampling,9,1671,0.000011,0.000006,0.006553,0.006583
1711,ImportanceSampling,9,1671,0.000014,0.000007,0.004821,0.004859
1741,ImportanceSampling,9,1671,0.000009,0.000005,0.005581,0.005605
1771,ImportanceSampling,9,1671,0.000013,0.000007,0.004709,0.004741
1801,ImportanceSampling,9,1671,0.000009,0.000005,0.001616,0.001639
1831,ImportanceSampling,9,1671,0.000009,0.000005,0.006545,0.006572
1861,ImportanceSampling,9,1671,0.000012,0.000007,0.006025,0.006056
1891,ImportanceSampling,9,1671,0.000010,0.000006,0.006184,0.006211
1921,ImportanceSampling,9,1671,0.000014,0.000007,0.005827,0.005858
1951,ImportanceSampling,9,1671,0.000011,0.000006,0.006324,0.006353
1981,ImportanceSampling,9,1671,0.000009,0.000005,0.005763,0.005787
2011,ImportanceSampling,9,1671,0.000011,0.000007,0.005847,0.005875
2041,ImportanceSampling,9,1671,0.000013,0.000007,0.005947,0.005980
2071,ImportanceSampling,9,1671,0.000011,0.000007,0.006047,0.006079
2101,ImportanceSampling,9,1671,0.000010,0.000006,0.007033,0.007062
2131,ImportanceSampling,9,1671,0.000010,0.000007,0.006010,0.006040
2161,ImportanceSampling,9,1671,0.000010,0.000007,0.005997,0.006025
2191,ImportanceSampling,9,1671,0.000011,0.000007,0.005901,0.005936
2221,ImportanceSampling,9,1671,0.000011,0.000006,0.006015,0.006044
2251,ImportanceSampling,9,1671,0.000010,0.000006,0.006443,0.006468
2281,ImportanceSampling,9,1671,0.000013,0.000007,0.005642,0.005672
2311,ImportanceSampling,9,1671,0.000011,0.000007,0.004903,0.004930
2341,ImportanceSampling,9,1671,0.000012,0.000006,0.004704,0.004732
2371,ImportanceSampling,9,1671,0.000011,0.000007,0.004561,0.004591
2401,ImportanceSampling,9,1671,0.000010,0.000007,0.004637,0.004671
2431,ImportanceSampling,9,1671,0.000011,0.000006,0.004570,0.004602
